area_code,measure_a,measure_b
E02000222,75.5,15.01140562
E02000223,62.3,38.80256021
E02000224,74.1,15.19842793
E02000225,69.6,32.09196043
E02000226,79.6,9.353797625
E02000227,77.4,17.855986
E02000228,87.2,5.678492029
E02000229,67.5,38.61102333
E02000230,78.6,15.02004397
E02000231,84.2,8.918442212
E02000232,82.5,12.26569704
E02000233,80.1,13.95069323
E02000234,80,17.07102597
E02000235,83.3,11.41971413
E02000236,84.7,9.523745568
E02000237,84.5,12.53205586
E02000238,67,18.73264405
E02000239,68.5,12.76848891
E02000240,68.2,29.90837128
E02000241,68.5,20.34137715
E02000242,67.7,15.13099232
E02000243,65.3,24.03260779
E02000244,64.4,17.11302283
E02000245,66.3,37.99387463
E02000246,68.4,30.37271332
E02000247,66.5,27.71270397
E02000248,61.5,18.935244
E02000249,68.5,24.63060822
E02000250,78.7,8.078410804
E02000251,70.5,17.29875316
E02000252,57.9,28.18532883
E02000253,67.2,33.80143238
E02000254,71.2,22.69048282
E02000255,72.6,21.19055712
E02000256,71.4,14.11220242
E02000257,68.7,16.08274297
E02000258,61,18.52435341
E02000259,72.9,14.81280588
E02000260,71.6,26.54392113
E02000261,59.2,23.57625088
E02000262,64.2,26.46656226
E02000263,70.6,29.49147248
E02000264,67.8,18.10300265
E02000265,69.4,27.6407376
E02000266,68.5,36.88706066
E02000267,72.3,19.0284262
E02000268,73,20.64204978
E02000269,74.5,10.62361007
E02000270,68.1,35.99719163
E02000271,73.9,9.829194169
E02000272,78.1,10.15408211
E02000274,69.3,28.31282465
E02000275,73.5,28.17782755
E02000276,73.4,13.74185614
E02000277,65,26.28489745
E02000278,65.3,38.42983081
E02000279,63,32.44872303
E02000280,79.8,21.46844838
E02000281,69.9,27.97208744
E02000282,62.5,40.06445953
E02000283,66.1,31.00121353
E02000284,78.5,17.07098378
E02000285,81.8,11.39191203
E02000286,80.3,16.91281827
E02000287,79.7,13.16040437
E02000288,65.8,33.57948538
E02000289,80.4,10.25233727
E02000290,62,38.83932071
E02000291,70,22.76904303
E02000292,70.4,21.6303512
E02000293,83.1,10.69965041
E02000294,63,29.83809002
E02000295,73.4,14.26416227
E02000296,68.9,18.73659699
E02000297,78.6,11.15384797
E02000298,80.9,8.6342442
E02000299,56.9,34.10902892
E02000300,59,31.69063489
E02000301,58.4,39.40452037
E02000302,70,19.46155733
E02000303,60.6,39.4957091
E02000304,79.5,9.395457434
E02000305,69.6,15.37260484
E02000306,60.5,43.56118441
E02000307,62.8,25.02769212
E02000308,64,21.17568638
E02000309,56.6,38.22551166
E02000311,63.6,26.65358461
E02000312,64.4,19.41314521
E02000313,66.7,29.03408485
E02000314,56.7,23.20132939
E02000315,66.7,36.29012033
E02000316,69,23.83605983
E02000317,71.5,32.47226068
E02000318,66.5,26.53644485
E02000319,66.2,24.1716814
E02000320,68.8,22.93000341
E02000321,67.4,32.89893154
E02000323,65.4,32.19790005
E02000324,71.8,29.34032248
E02000326,75.4,20.64877153
E02000327,68.7,30.4102766
E02000328,79.1,16.88360272
E02000329,75.8,19.49079704
E02000331,72.6,29.18395079
E02000332,76.1,15.90175885
E02000333,81.4,13.90021315
E02000334,75.4,25.99331111
E02000335,84,11.43167036
E02000337,74,30.83114061
E02000339,82.9,17.05462331
E02000340,78.4,14.54222192
E02000341,68.3,38.41635975
E02000342,72.2,21.59682054
E02000343,72.9,25.21947873
E02000344,80.9,12.95285546
E02000345,45.4,28.99561343
E02000346,65.8,47.16933468
E02000347,50.5,28.99922128
E02000348,47.7,33.21411143
E02000350,62,24.30656054
E02000351,69.6,27.08776195
E02000352,68.8,26.09956461
E02000353,74.6,23.55505114
E02000354,64.7,34.86709131
E02000355,70.8,28.73551386
E02000356,74,23.85055364
E02000357,60.4,43.06423223
E02000358,66.3,32.00512558
E02000359,67.4,30.71862104
E02000360,64.7,36.47772832
E02000361,67,33.01989433
E02000362,66.1,42.29267224
E02000363,61.9,42.04983382
E02000364,70.1,27.9722636
E02000365,67.9,29.74856652
E02000366,67.6,34.18647837
E02000367,67.3,31.86222479
E02000368,65.4,37.53115089
E02000369,66.1,34.9383378
E02000370,64.7,32.31958978
E02000371,57.9,29.41761959
E02000372,56.4,32.10404746
E02000373,53.8,39.21332851
E02000374,60.8,27.84842761
E02000375,59.4,31.14866001
E02000376,59.7,30.26116424
